ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
202982_s_at	7.38e-06	7.85e-08	5.8349428	7.74752	1.88760397	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2
203881_s_at	7.45e-06	7.95e-08	5.831902	7.73474	1.15047252	DMD	dystrophin
206385_s_at	7.68e-06	8.24e-08	-5.823849	7.7009	-1.31095162	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
210832_x_at	7.90e-06	8.51e-08	5.8164361	7.66978	1.20690733	PTGER3	prostaglandin E receptor 3
202942_at	7.98e-06	8.63e-08	5.8133382	7.65677	1.66651741	ETFB	electron transfer flavoprotein beta subunit
218502_s_at	8.38e-06	9.10e-08	-5.8010965	7.60542	-0.82434061	TRPS1	transcriptional repressor GATA binding 1
215039_at	8.60e-06	9.37e-08	5.794401	7.57736	1.25939696	LINC01140	long intergenic non-protein coding RNA 1140
201664_at	8.72e-06	9.54e-08	-5.7902513	7.55997	-1.39288811	SMC4	structural maintenance of chromosomes 4
211922_s_at	8.99e-06	9.89e-08	5.7821278	7.52595	1.49872322	CAT	catalase
213793_s_at	9.22e-06	1.02e-07	-5.7755666	7.49849	-1.43226784	HOMER1	homer scaffolding protein 1
201785_at	9.35e-06	1.04e-07	5.7713577	7.48088	0.96180954	RNASE1	ribonuclease A family member 1, pancreatic
203476_at	9.60e-06	1.07e-07	-5.764311	7.45141	-0.8293803	TPBG	trophoblast glycoprotein
212122_at	9.94e-06	1.11e-07	5.7556048	7.41503	1.42757747	RHOQ	ras homolog family member Q
206101_at	1.02e-05	1.15e-07	5.7478594	7.38268	0.95042409	ECM2	extracellular matrix protein 2
209604_s_at	1.03e-05	1.16e-07	-5.7457179	7.37374	-1.20877617	GATA3	GATA binding protein 3
200671_s_at	1.05e-05	1.19e-07	5.7395483	7.34799	0.63616759	SPTBN1	spectrin beta, non-erythrocytic 1
211458_s_at	1.05e-05	1.19e-07	5.7393212	7.34705	1.75552743	GABARAPL3///GABARAPL1	GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1
203296_s_at	1.05e-05	1.20e-07	5.7383177	7.34286	1.37269168	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
203336_s_at	1.05e-05	1.21e-07	5.7366548	7.33592	1.37454163	ITGB1BP1	integrin subunit beta 1 binding protein 1
212134_at	1.07e-05	1.22e-07	5.7331594	7.32134	0.76534193	MIR6716///PHLDB1	microRNA 6716///pleckstrin homology like domain family B member 1
203814_s_at	1.09e-05	1.25e-07	5.7278977	7.29941	0.966817	NQO2	NAD(P)H quinone dehydrogenase 2
201325_s_at	1.19e-05	1.37e-07	5.7067613	7.21138	1.36509281	EMP1	epithelial membrane protein 1
208029_s_at	1.23e-05	1.43e-07	-5.6981192	7.17543	-1.45754896	LAPTM4B	lysosomal protein transmembrane 4 beta
209485_s_at	1.23e-05	1.44e-07	5.6959084	7.16624	0.99506699	OSBPL1A	oxysterol binding protein like 1A
211726_s_at	1.27e-05	1.49e-07	5.6884382	7.13519	0.62359311	FMO2	flavin containing monooxygenase 2
212230_at	1.29e-05	1.51e-07	5.684532	7.11896	1.16693487	PLPP3	phospholipid phosphatase 3
205208_at	1.33e-05	1.58e-07	5.6750585	7.07963	1.51705926	ALDH1L1	aldehyde dehydrogenase 1 family member L1
218009_s_at	1.34e-05	1.58e-07	-5.674011	7.07528	-1.62921955	PRC1	protein regulator of cytokinesis 1
207071_s_at	1.35e-05	1.61e-07	5.6706497	7.06133	0.82806634	ACO1	aconitase 1
45297_at	1.37e-05	1.64e-07	5.6664192	7.04378	0.9466644	EHD2	EH domain containing 2
202309_at	1.40e-05	1.68e-07	5.6605703	7.01953	0.70636793	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
213502_x_at	1.53e-05	1.84e-07	-5.639517	6.93234	-1.78108112	GUSBP11	glucuronidase, beta pseudogene 11
220327_at	1.55e-05	1.88e-07	5.6341237	6.91002	1.11447318	VGLL3	vestigial like family member 3
37892_at	1.55e-05	1.88e-07	-5.6337308	6.9084	-1.98587285	COL11A1	collagen type XI alpha 1 chain
202782_s_at	1.60e-05	1.95e-07	5.6256442	6.87496	0.81806442	INPP5K	inositol polyphosphate-5-phosphatase K
209894_at	1.61e-05	1.97e-07	5.623826	6.86745	1.35705159	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor
209086_x_at	1.62e-05	1.99e-07	5.6212817	6.85694	1.04642917	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule
204363_at	1.63e-05	2.00e-07	5.6194887	6.84953	0.9493741	F3	coagulation factor III, tissue factor
202862_at	1.65e-05	2.03e-07	5.6158655	6.83456	1.02776722	FAH	fumarylacetoacetate hydrolase
217794_at	1.77e-05	2.20e-07	-5.5981952	6.76164	-1.29692669	PRR13	proline rich 13
200895_s_at	1.82e-05	2.26e-07	-5.5911422	6.73257	-1.0947223	FKBP4	FK506 binding protein 4
214212_x_at	1.84e-05	2.30e-07	5.5877629	6.71865	1.36520181	FERMT2	fermitin family member 2
201465_s_at	1.89e-05	2.37e-07	5.5807251	6.68966	1.6176936	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
222043_at	1.89e-05	2.38e-07	5.5799655	6.68653	1.11817698	CLU	clusterin
219054_at	1.90e-05	2.39e-07	5.5781255	6.67896	1.11382544	NPR3	natriuretic peptide receptor 3
209138_x_at	1.91e-05	2.42e-07	-5.5752895	6.66729	-1.53484515	IGLC1	immunoglobulin lambda constant 1
201963_at	1.97e-05	2.50e-07	5.5683404	6.6387	1.89213559	ACSL1	acyl-CoA synthetase long-chain family member 1
221024_s_at	1.98e-05	2.52e-07	-5.5662811	6.63023	-1.49527311	SLC2A10	solute carrier family 2 member 10
210046_s_at	1.99e-05	2.54e-07	-5.5644048	6.62251	-1.1878438	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial
211026_s_at	2.00e-05	2.57e-07	5.5614687	6.61044	0.73733909	MGLL	monoglyceride lipase
213518_at	2.08e-05	2.68e-07	-5.552148	6.57215	-1.20259426	PRKCI	protein kinase C iota
213226_at	2.13e-05	2.76e-07	-5.5451094	6.54325	-0.80793403	CCNA2	cyclin A2
213221_s_at	2.29e-05	2.97e-07	5.5279124	6.47272	1.08007268	SIK2	salt inducible kinase 2
208186_s_at	2.39e-05	3.11e-07	5.5172899	6.42921	0.80054	LIPE	lipase E, hormone sensitive type
39248_at	2.58e-05	3.37e-07	-5.4986874	6.35311	-1.24365423	AQP3	aquaporin 3 (Gill blood group)
204389_at	2.60e-05	3.41e-07	5.4957121	6.34095	0.96259526	MAOA	monoamine oxidase A
212875_s_at	2.63e-05	3.46e-07	5.4919906	6.32574	1.12394647	C2CD2	C2 calcium dependent domain containing 2
205932_s_at	2.75e-05	3.63e-07	5.4807715	6.27993	1.10551248	MSX1	msh homeobox 1
202990_at	2.78e-05	3.68e-07	5.4777994	6.26781	0.90274207	PYGL	phosphorylase, glycogen, liver
209008_x_at	2.80e-05	3.72e-07	-5.4749972	6.25638	-0.98567381	KRT8	keratin 8
219937_at	2.87e-05	3.83e-07	5.4682775	6.22898	0.98855692	TRHDE	thyrotropin releasing hormone degrading enzyme
202712_s_at	3.00e-05	4.02e-07	-5.4570997	6.18344	-0.76684941	CKMT1A///CKMT1B	creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B
202976_s_at	3.00e-05	4.03e-07	5.4564403	6.18075	0.85832237	RHOBTB3	Rho related BTB domain containing 3
210946_at	3.01e-05	4.05e-07	5.4551209	6.17538	0.77007738	PLPP1	phospholipid phosphatase 1
218665_at	3.01e-05	4.08e-07	5.4535828	6.16912	0.64604587	FZD4	frizzled class receptor 4
218711_s_at	3.01e-05	4.08e-07	5.4532727	6.16785	0.91368029	SDPR	serum deprivation response
203693_s_at	3.04e-05	4.14e-07	-5.4502836	6.15569	-1.06443842	E2F3	E2F transcription factor 3
205559_s_at	3.05e-05	4.17e-07	5.4486148	6.1489	1.5853481	PCSK5	proprotein convertase subtilisin/kexin type 5
200911_s_at	3.05e-05	4.18e-07	5.4478827	6.14592	0.85667262	TACC1	transforming acidic coiled-coil containing protein 1
202724_s_at	3.07e-05	4.22e-07	5.4457936	6.13742	1.27501633	FOXO1	forkhead box O1
219117_s_at	3.14e-05	4.32e-07	-5.4399293	6.11357	-1.6150132	FKBP11	FK506 binding protein 11
203642_s_at	3.21e-05	4.45e-07	5.4332544	6.08644	0.68461896	COBLL1	cordon-bleu WH2 repeat protein like 1
201885_s_at	3.21e-05	4.45e-07	5.4331998	6.08622	0.77147887	CYB5R3	cytochrome b5 reductase 3
203124_s_at	3.34e-05	4.64e-07	-5.4231592	6.04545	-1.18950786	SLC11A2	solute carrier family 11 member 2
202157_s_at	3.37e-05	4.71e-07	5.4198235	6.03191	0.89499709	CELF2	CUGBP, Elav-like family member 2
200696_s_at	3.42e-05	4.79e-07	5.4159544	6.01621	0.99530314	GSN	gelsolin
202088_at	3.49e-05	4.91e-07	-5.4099912	5.99203	-0.94037485	SLC39A6	solute carrier family 39 member 6
208737_at	3.56e-05	5.02e-07	-5.4045606	5.97001	-1.06150262	ATP6V1G1	ATPase H+ transporting V1 subunit G1
202760_s_at	3.60e-05	5.09e-07	5.4014679	5.95748	0.91589612	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
212013_at	3.65e-05	5.18e-07	5.3974274	5.94112	1.21745679	PXDN	peroxidasin
201363_s_at	3.70e-05	5.26e-07	-5.3937685	5.9263	-1.16871305	IVNS1ABP	influenza virus NS1A binding protein
221031_s_at	3.79e-05	5.41e-07	5.3868856	5.89845	0.99029175	APOLD1	apolipoprotein L domain containing 1
209540_at	4.09e-05	5.86e-07	5.3681919	5.82289	1.5380584	IGF1	insulin like growth factor 1
205200_at	4.21e-05	6.04e-07	5.3609805	5.79378	1.27885223	EXOSC7///CLEC3B	exosome component 7///C-type lectin domain family 3 member B
203038_at	4.25e-05	6.15e-07	-5.3568729	5.77721	-0.65233817	PTPRK	protein tyrosine phosphatase, receptor type K
209539_at	4.25e-05	6.15e-07	5.3568671	5.77719	0.83113023	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
220065_at	4.27e-05	6.19e-07	5.3553475	5.77106	1.0009816	TNMD	tenomodulin
201324_at	4.36e-05	6.34e-07	5.3493363	5.74682	1.0171202	EMP1	epithelial membrane protein 1
202112_at	4.46e-05	6.51e-07	5.3432935	5.72247	1.46431398	VWF	von Willebrand factor
202973_x_at	4.46e-05	6.53e-07	5.3424496	5.71907	0.92985334	FAM13A	family with sequence similarity 13 member A
218189_s_at	4.57e-05	6.71e-07	-5.3358827	5.69262	-1.15506949	NANS	N-acetylneuraminate synthase
204642_at	4.57e-05	6.72e-07	5.3356592	5.69173	1.14008443	S1PR1	sphingosine-1-phosphate receptor 1
212219_at	4.61e-05	6.81e-07	-5.3324196	5.67869	-1.26851048	PSME4	proteasome activator subunit 4
207057_at	4.73e-05	7.00e-07	5.3259138	5.65251	0.86277749	SLC16A7	solute carrier family 16 member 7
213150_at	4.74e-05	7.04e-07	5.3245041	5.64684	1.37363718	HOXA10	homeobox A10
218651_s_at	4.87e-05	7.25e-07	5.317565	5.61895	0.63437488	LARP6	La ribonucleoprotein domain family member 6
221841_s_at	5.02e-05	7.50e-07	5.3096787	5.58727	1.52322005	KLF4	Kruppel like factor 4
201036_s_at	5.12e-05	7.67e-07	5.304289	5.56564	0.88453409	HADH	hydroxyacyl-CoA dehydrogenase
202963_at	5.20e-05	7.81e-07	-5.2998794	5.54794	-1.02266432	RFX5	regulatory factor X5
205005_s_at	5.29e-05	7.98e-07	5.2947403	5.52733	0.73292085	NMT2	N-myristoyltransferase 2
205608_s_at	5.29e-05	8.00e-07	5.2941673	5.52503	0.64348987	ANGPT1	angiopoietin 1
207302_at	5.38e-05	8.17e-07	5.2893509	5.50573	1.06179517	SGCG	sarcoglycan gamma
201425_at	5.90e-05	8.97e-07	5.266904	5.41588	1.129293	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
219454_at	5.94e-05	9.06e-07	5.2646027	5.40668	0.82608339	EGFL6	EGF like domain multiple 6
207160_at	6.02e-05	9.22e-07	5.2604656	5.39014	0.98300456	IL12A	interleukin 12A
204276_at	6.02e-05	9.24e-07	5.2598844	5.38782	1.09094216	TK2	thymidine kinase 2, mitochondrial
213001_at	6.09e-05	9.37e-07	5.2565319	5.37443	0.6612033	ANGPTL2	angiopoietin like 2
209605_at	6.14e-05	9.48e-07	5.2537651	5.36338	1.16119363	TST	thiosulfate sulfurtransferase
204677_at	6.25e-05	9.68e-07	5.2486695	5.34304	1.10750182	CDH5	cadherin 5
204154_at	6.55e-05	1.02e-06	5.2369698	5.29637	0.78378106	CDO1	cysteine dioxygenase type 1
217781_s_at	6.60e-05	1.03e-06	5.2336311	5.28306	0.95838907	ZNF106	zinc finger protein 106
209185_s_at	6.60e-05	1.03e-06	5.2336205	5.28302	0.75691197	IRS2	insulin receptor substrate 2
202796_at	6.81e-05	1.07e-06	5.2254296	5.2504	1.07313812	SYNPO	synaptopodin
201202_at	6.94e-05	1.09e-06	-5.2202235	5.22967	-1.07373328	PCNA	proliferating cell nuclear antigen
211946_s_at	7.13e-05	1.12e-06	-5.2130137	5.20099	-0.93678715	PRRC2C	proline rich coiled-coil 2C
218123_at	7.14e-05	1.13e-06	-5.2114305	5.1947	-0.97341225	C21orf59	chromosome 21 open reading frame 59
219534_x_at	7.14e-05	1.13e-06	5.2112992	5.19417	1.1675173	CDKN1C	cyclin dependent kinase inhibitor 1C
209355_s_at	7.36e-05	1.17e-06	5.2033953	5.16276	0.71879928	PLPP3	phospholipid phosphatase 3
204059_s_at	7.46e-05	1.19e-06	5.1993895	5.14685	0.84241808	ME1	malic enzyme 1
205619_s_at	7.58e-05	1.21e-06	5.1950061	5.12945	0.98311434	MEOX1	mesenchyme homeobox 1
202003_s_at	7.76e-05	1.24e-06	5.1887129	5.10448	1.27277041	ACAA2	acetyl-CoA acyltransferase 2
216868_s_at	7.80e-05	1.25e-06	5.1866733	5.09639	1.20806178		
209803_s_at	7.94e-05	1.28e-06	-5.1817306	5.07679	-1.21825478	PHLDA2	pleckstrin homology like domain family A member 2
203516_at	7.94e-05	1.28e-06	5.1810718	5.07418	0.70259806	SNTA1	syntrophin alpha 1
201843_s_at	8.22e-05	1.33e-06	5.1722357	5.03918	0.80041869	EFEMP1	EGF containing fibulin like extracellular matrix protein 1
209049_s_at	8.36e-05	1.36e-06	-5.1672983	5.01963	-0.99670471	ZMYND8	zinc finger MYND-type containing 8
219209_at	8.63e-05	1.41e-06	-5.1590414	4.98697	-1.09499942	IFIH1	interferon induced with helicase C domain 1
203769_s_at	8.86e-05	1.45e-06	5.1521879	4.95987	1.14067822	STS	steroid sulfatase (microsomal), isozyme S
202345_s_at	8.91e-05	1.46e-06	5.15002	4.95131	2.0273215	FABP5	fatty acid binding protein 5
217714_x_at	8.97e-05	1.47e-06	-5.147655	4.94197	-0.73783526	MIR3917///STMN1	microRNA 3917///stathmin 1
201340_s_at	8.97e-05	1.48e-06	-5.14724	4.94033	-1.20068135	ENC1	ectodermal-neural cortex 1
217771_at	8.98e-05	1.48e-06	-5.146253	4.93643	-1.17475358	GOLM1	golgi membrane protein 1
218656_s_at	9.10e-05	1.51e-06	5.1424296	4.92134	0.8023181	LHFP	lipoma HMGIC fusion partner
219288_at	9.12e-05	1.51e-06	-5.1411318	4.91621	-0.97126621	C3orf14	chromosome 3 open reading frame 14
203002_at	9.24e-05	1.54e-06	5.1370971	4.90029	0.68862872	AMOTL2	angiomotin like 2
202283_at	9.24e-05	1.55e-06	5.1360091	4.896	1.49973007	SERPINF1	serpin family F member 1
221885_at	9.24e-05	1.55e-06	5.1359718	4.89585	0.82466127	DENND2A	DENN domain containing 2A
201689_s_at	9.30e-05	1.56e-06	-5.1338077	4.88732	-1.22815145	TPD52	tumor protein D52
202723_s_at	9.43e-05	1.59e-06	5.1297097	4.87116	0.98128943	FOXO1	forkhead box O1
212036_s_at	9.56e-05	1.61e-06	-5.1258055	4.85577	-1.14649297	PNN	pinin, desmosome associated protein
204039_at	9.75e-05	1.65e-06	5.1204726	4.83476	1.13286239	CEBPA	CCAAT/enhancer binding protein alpha
202014_at	1.00e-04	1.70e-06	5.1130028	4.80536	0.6917868	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
202935_s_at	1.04e-04	1.77e-06	-5.1029648	4.76588	-0.87077612	SOX9	SRY-box 9
214297_at	1.06e-04	1.80e-06	5.0990185	4.75037	1.06181035	CSPG4	chondroitin sulfate proteoglycan 4
201761_at	1.12e-04	1.91e-06	-5.0845767	4.69367	-1.1264284	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
202800_at	1.12e-04	1.92e-06	5.0835658	4.68971	1.11255789	SLC1A3	solute carrier family 1 member 3
210145_at	1.17e-04	2.01e-06	5.0726831	4.64705	1.35173755	PLA2G4A	phospholipase A2 group IVA
213913_s_at	1.17e-04	2.01e-06	-5.072443	4.64611	-1.12840935	TBC1D30	TBC1 domain family member 30
204421_s_at	1.17e-04	2.03e-06	5.070241	4.63748	0.74374321	FGF2	fibroblast growth factor 2
220948_s_at	1.22e-04	2.11e-06	-5.0603654	4.59882	-0.88651165	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1
210751_s_at	1.24e-04	2.15e-06	5.0559545	4.58157	0.7318783	RGN	regucalcin
213808_at	1.26e-04	2.20e-06	5.0505879	4.56059	0.96818899	ADAM23	ADAM metallopeptidase domain 23
215946_x_at	1.29e-04	2.24e-06	-5.0457001	4.54149	-1.00169424	IGLL3P	immunoglobulin lambda like polypeptide 3, pseudogene
201479_at	1.33e-04	2.32e-06	-5.037198	4.50829	-0.73696111	MIR664B///SNORA56///DKC1	microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1
215306_at	1.33e-04	2.33e-06	5.0369996	4.50752	0.79339435		
209360_s_at	1.38e-04	2.44e-06	-5.0255251	4.46277	-1.26290717	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
215241_at	1.38e-04	2.44e-06	5.0253041	4.46191	0.82290515	ANO3	anoctamin 3
213515_x_at	1.43e-04	2.52e-06	5.016902	4.42918	1.22148344	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
218934_s_at	1.43e-04	2.53e-06	5.016532	4.42774	0.816416	HSPB7	heat shock protein family B (small) member 7
206363_at	1.43e-04	2.53e-06	5.015959	4.42551	0.81839858	MAF	MAF bZIP transcription factor
206742_at	1.46e-04	2.61e-06	5.0088441	4.39782	0.61609822	PIR-FIGF///FIGF	PIR-FIGF readthrough///c-fos induced growth factor
211981_at	1.48e-04	2.63e-06	5.0064705	4.38858	0.59518604	COL4A1	collagen type IV alpha 1 chain
220736_at	1.48e-04	2.66e-06	5.0040003	4.37898	0.74046035	SLC19A3	solute carrier family 19 member 3
218032_at	1.48e-04	2.67e-06	5.0035993	4.37742	0.58429927	SNN	stannin
200770_s_at	1.49e-04	2.69e-06	5.0017906	4.37039	0.8913828	LAMC1	laminin subunit gamma 1
213800_at	1.51e-04	2.72e-06	4.9989923	4.35951	1.1749495	CFH	complement factor H
212119_at	1.51e-04	2.73e-06	4.9979845	4.3556	0.90950265	RHOQ	ras homolog family member Q
206496_at	1.58e-04	2.86e-06	4.9862768	4.31014	0.79329023	FMO3	flavin containing monooxygenase 3
207076_s_at	1.61e-04	2.92e-06	4.9810511	4.28987	0.90866321	ASS1	argininosuccinate synthase 1
209542_x_at	1.63e-04	2.97e-06	4.9767534	4.2732	1.49458896	IGF1	insulin like growth factor 1
203799_at	1.64e-04	2.99e-06	4.9754995	4.26834	1.08941867	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75
222116_s_at	1.66e-04	3.04e-06	4.9716249	4.25333	0.99663843	TBC1D16	TBC1 domain family member 16
213010_at	1.66e-04	3.05e-06	4.9703688	4.24847	0.97932862	PRKCDBP	protein kinase C delta binding protein
202189_x_at	1.68e-04	3.11e-06	-4.9661228	4.23202	-1.35740994	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1
202018_s_at	1.68e-04	3.11e-06	-4.9657197	4.23046	-1.77767684	LTF	lactotransferrin
208794_s_at	1.68e-04	3.11e-06	-4.9656264	4.2301	-1.17973769	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
209357_at	1.75e-04	3.25e-06	4.9550963	4.18936	0.92323977	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
209297_at	1.76e-04	3.26e-06	4.9539844	4.18507	1.3657384	ITSN1	intersectin 1
212533_at	1.77e-04	3.30e-06	-4.9514889	4.17542	-0.83542756	WEE1	WEE1 G2 checkpoint kinase
212915_at	1.77e-04	3.31e-06	4.9505275	4.1717	0.92939935	PDZRN3	PDZ domain containing ring finger 3
208790_s_at	1.78e-04	3.34e-06	4.9481747	4.16261	0.97206116	PTRF	polymerase I and transcript release factor
201012_at	1.83e-04	3.44e-06	4.9411356	4.13543	0.76320181	ANXA1	annexin A1
209209_s_at	1.90e-04	3.57e-06	4.9316125	4.09869	1.24395863	FERMT2	fermitin family member 2
213175_s_at	1.90e-04	3.58e-06	-4.9312207	4.09718	-1.35906866	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1
219576_at	1.91e-04	3.62e-06	4.9284644	4.08655	0.96518969	MAP7D3	MAP7 domain containing 3
212551_at	1.91e-04	3.63e-06	4.9279744	4.08466	0.74882306	CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)
209656_s_at	1.92e-04	3.65e-06	4.926555	4.07919	0.72465372	TMEM47	transmembrane protein 47
205339_at	1.94e-04	3.69e-06	-4.9237172	4.06826	-0.60917264	STIL	SCL/TAL1 interrupting locus
204422_s_at	1.97e-04	3.75e-06	4.919524	4.05211	1.4165269	FGF2	fibroblast growth factor 2
202539_s_at	1.97e-04	3.76e-06	-4.9189739	4.04999	-1.15686578	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase
213675_at	1.99e-04	3.81e-06	4.9155555	4.03683	0.6013	PARVA	parvin alpha
204482_at	2.04e-04	3.92e-06	4.9084089	4.00934	1.19404668	CLDN5	claudin 5
206069_s_at	2.36e-04	4.56e-06	4.8711075	3.86621	0.66025692	ACADL	acyl-CoA dehydrogenase, long chain
205560_at	2.36e-04	4.56e-06	4.8710084	3.86583	1.00916263	PCSK5	proprotein convertase subtilisin/kexin type 5
204162_at	2.39e-04	4.62e-06	-4.8680983	3.8547	-1.27515276	NDC80	NDC80, kinetochore complex component
203213_at	2.40e-04	4.66e-06	-4.8660422	3.84683	-1.04344087	CDK1	cyclin dependent kinase 1
204955_at	2.40e-04	4.66e-06	4.8657279	3.84563	0.64487301	SRPX	sushi repeat containing protein, X-linked
206262_at	2.45e-04	4.78e-06	4.8594478	3.82161	0.97061691	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
219433_at	2.53e-04	4.93e-06	-4.8518325	3.79251	-1.34536223	BCOR	BCL6 corepressor
212457_at	2.56e-04	5.01e-06	4.8476739	3.77663	1.07418867	TFE3	transcription factor binding to IGHM enhancer 3
207761_s_at	2.57e-04	5.05e-06	4.845942	3.77001	0.72540916	METTL7A	methyltransferase like 7A
204798_at	2.63e-04	5.18e-06	-4.8396118	3.74586	-1.02815762	MYB	MYB proto-oncogene, transcription factor
204589_at	2.67e-04	5.27e-06	4.8353517	3.72962	0.89435867	NUAK1	NUAK family kinase 1
208581_x_at	2.72e-04	5.37e-06	4.8305962	3.71149	0.65904085	MT1X	metallothionein 1X
53991_at	2.83e-04	5.59e-06	4.8204339	3.6728	0.73949903	DENND2A	DENN domain containing 2A
204115_at	2.84e-04	5.64e-06	4.818153	3.66412	1.27482601	GNG11	G protein subunit gamma 11
219028_at	2.94e-04	5.85e-06	4.808987	3.62928	1.20543698	HIPK2	homeodomain interacting protein kinase 2
219549_s_at	2.97e-04	5.91e-06	4.8065442	3.62	0.75807911	RTN3	reticulon 3
221479_s_at	3.09e-04	6.17e-06	4.795993	3.57994	0.65950302	BNIP3L	BCL2 interacting protein 3 like
216321_s_at	3.13e-04	6.28e-06	4.7913153	3.5622	0.87231091	NR3C1	nuclear receptor subfamily 3 group C member 1
215768_at	3.13e-04	6.28e-06	4.791296	3.56213	0.70849161		
205404_at	3.16e-04	6.36e-06	4.7883811	3.55108	0.85849388	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1
203669_s_at	3.22e-04	6.48e-06	4.7833435	3.53199	0.85462545	DGAT1	diacylglycerol O-acyltransferase 1
209122_at	3.26e-04	6.59e-06	4.7792399	3.51645	0.70070331	PLIN2	perilipin 2
216095_x_at	3.30e-04	6.68e-06	-4.7760117	3.50423	-0.89377975	MTMR1	myotubularin related protein 1
221671_x_at	3.35e-04	6.80e-06	-4.7713603	3.48664	-1.00495166	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
201105_at	3.43e-04	6.97e-06	4.7653907	3.46407	1.0917964	LGALS1	galectin 1
213756_s_at	3.48e-04	7.08e-06	4.7611269	3.44796	0.89951285	HSF1	heat shock transcription factor 1
218313_s_at	3.48e-04	7.10e-06	-4.760552	3.44579	-0.88480436	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7
219778_at	3.51e-04	7.18e-06	4.7577342	3.43515	0.87631826	ZFPM2	zinc finger protein, FOG family member 2
